frame,gridx,gridy,hand_value
930,1,3,2.1253912121016918e-17
930,1,4,2.1850158208044998e-17
930,1,5,1.5797136002305116e-20
930,1,6,2.748712834320913e-28
930,2,1,1.057478552517022e-15
930,2,2,2.0400330580888972e-09
930,2,3,6.840553568115737e-07
930,2,4,5.47281338504342e-07
930,2,5,3.4855708064385066e-10
930,2,6,5.911532863590738e-18
930,3,1,1.487288226571395e-10
930,3,2,0.0002995106737957828
930,3,3,0.039576356303660735
930,3,4,0.011283489399232927
930,3,5,1.2221463523218657e-06
930,3,6,5.60445391115334e-15
930,4,1,2.0396970875737487e-10
930,4,2,0.00046222845584367495
930,4,3,0.06580294588266154
930,4,4,0.01892302837175665
930,4,5,1.732274435105992e-06
930,4,6,7.706821269964473e-15
930,5,1,5.305836905086987e-14
930,5,2,3.984021635415561e-06
930,5,3,0.01054053870744809
930,5,4,0.04762371017570972
930,5,5,0.0015344366594576958
930,5,6,5.4541515905879965e-09
930,6,1,2.470899762181128e-13
930,6,2,1.9931845318851937e-05
930,6,3,0.050702690143321315
930,6,4,0.15843959627378085
930,6,5,0.0037991707288965245
930,6,6,1.4016958756361715e-08
930,7,1,6.795929263551196e-17
930,7,2,5.22229497897692e-09
930,7,3,1.4454533505000227e-05
930,7,4,3.098049951192496e-05
930,7,5,2.775670549682333e-07
930,7,6,1.0876637873786217e-12
930,8,1,4.0230625896598664e-28
930,8,2,2.6427564873649397e-20
930,8,3,9.096340877067712e-17
930,8,4,1.8434161840615667e-16
930,8,5,6.817272467603171e-19
930,8,6,1.3816579046468651e-24
990,1,1,4.730033115140914e-28
990,1,2,1.563376799898642e-22
990,1,3,4.974335700118721e-21
990,1,4,4.0717491705708447e-22
990,1,5,3.974649765687161e-27
990,1,6,7.031309907544557e-37
990,2,1,4.280403369034837e-14
990,2,2,8.46582081521919e-09
990,2,3,2.1848736955771943e-07
990,2,4,1.5943285050020416e-08
990,2,5,1.4237414717928995e-13
990,2,6,2.4623505505523203e-23
990,3,1,2.2425606175315444e-08
990,3,2,0.0026614830156811535
990,3,3,0.05264597275983949
990,3,4,0.003372799999045798
990,3,5,2.9432752771406603e-08
990,3,6,5.582566325524872e-18
990,4,1,4.5485353119579344e-08
990,4,2,0.004149001617951532
990,4,3,0.06945265456974255
990,4,4,0.004069874635065254
990,4,5,3.569047118733898e-08
990,4,6,1.995828681204646e-16
990,5,1,5.262845279392279e-11
990,5,2,4.5504038587985865e-05
990,5,3,0.010165512200367448
990,5,4,0.029353917355044123
990,5,5,0.000374371293956555
990,5,6,2.971461404709785e-10
990,6,1,1.0202749130159185e-09
990,6,2,0.0008266390517781366
990,6,3,0.10543217184150051
990,6,4,0.12497530062798756
990,6,5,0.0012851283291337773
990,6,6,1.119095415320783e-09
990,7,1,2.5711213638594613e-12
990,7,2,1.8893770789543642e-06
990,7,3,0.00017018002733305227
990,7,4,7.846196764590146e-05
990,7,5,3.0230556214159586e-07
990,7,6,2.9868438461099306e-13
990,8,1,1.3418337366684841e-22
990,8,2,9.611318529818302e-17
990,8,3,7.569353628261711e-15
990,8,4,2.6025185540751803e-15
990,8,5,1.4816822881202307e-18
990,8,6,9.795304275478521e-25
1050,1,1,7.7242553878967715e-31
1050,1,2,5.940491299628889e-25
1050,1,3,3.691149717373503e-23
1050,1,4,5.366760671206255e-24
1050,1,5,1.308874865195205e-28
1050,1,6,5.580765386812996e-38
1050,2,1,5.67389698916689e-16
1050,2,2,3.041507230530896e-10
1050,2,3,1.3997146178520778e-08
1050,2,4,1.6059486314569e-09
